stanox,longitude,latitude
4836,-2.187642543,55.85016402
4837,-2.126913792,55.86353032
4838,-2.057434677,55.82423747
4838,-2.057436007,55.82513597
4841,-6.660625898,50.69516781
4843,-6.852894739,50.42628328
5002,-3.896876664,56.06574034
5007,-3.832312569,56.02537878
5009,-3.828978005,56.02273237
5011,-3.830708993,56.02540259
5011,-3.829105415,56.02542639
5015,-3.834880649,56.01186103
5017,-3.83961254,56.00071928
5019,-3.820056908,56.00534994
5020,-3.897722139,55.98484895
5021,-3.897854148,55.98754288
5022,-3.889932022,55.98946191
5023,-3.89776614,55.98574693
5024,-3.897810143,55.9866449
5025,-3.849665909,55.98557948
5027,-3.857548871,55.98950484
5037,-3.809615935,56.00261003
5039,-3.802359798,56.00245571
5041,-3.786333164,56.00268896
5042,-3.770183082,56.00022601
5048,-3.740096851,56.00874192
5051,0.140776753,55.66853537
5071,-3.693452686,56.00579689
5075,-3.672964429,56.01416407
5076,-1.169146922,55.67180289
5081,-3.730720014,56.01426561
5091,-3.725910397,56.01433302
5109,-3.792244889,55.99181958
5110,-3.727833625,55.98555023
5111,-3.714977655,55.98483114
5112,-3.719823514,55.98566225
5113,-3.719743764,55.98386612
5114,-3.719783638,55.98476418
5115,-3.653571785,56.01083121
5116,-3.651846971,55.97041694
5117,-3.652076691,55.97580552
5118,-3.650628056,55.97941937
5119,-3.596016701,55.97654421
5120,-3.588007919,55.97664766
5121,-3.58804473,55.97754578
5125,-3.444794255,55.96014147
5998,-5.83048249,57.00498007
5999,-5.83144222,57.00629937
6001,-5.830620872,57.00632454
6002,-5.821827587,56.9688299
6003,-5.828543853,56.9380534
6004,-5.830183551,56.93800312
6005,-5.763893533,56.90045747
6006,-5.663396661,56.88097053
6007,-5.44833622,56.87271438
6008,-5.449154984,56.87269175
6009,-5.29011676,56.85631041
6010,-5.121615606,56.84266207
6011,-5.129799323,56.84245702
6011,-5.170868091,56.8432177
6013,-5.095426983,56.84331461
6014,-5.189864375,56.85441916
6016,-5.100411664,56.8440897
6019,-5.090599601,56.82455799
6020,-5.09394564,56.82537391
6023,-5.089185314,56.82728965
6024,-5.109933841,56.82048187
6025,-5.106662222,56.82056341
6026,-4.919456204,56.88980038
6027,-4.920275763,56.88978121
6028,-4.838042522,56.88808223
6029,-4.70146027,56.88392185
6030,-4.703099437,56.88388637
6031,-4.690921717,56.76012256
6032,-4.689287929,56.76015782
6033,-4.696163512,56.43330551
6034,-4.57948604,56.68608716
6035,-4.577855313,56.68612093
6036,-4.764051408,56.5527001
6037,-4.764682549,56.51673407
6038,-4.762247744,56.51678826
6039,-4.697005172,56.4337366
6040,-5.475070575,56.40807415
6041,-5.475479763,56.41255793
6046,-5.384916701,56.45192431
6048,-5.240243706,56.43061803
6049,-5.240976733,56.4296999
6050,-5.11558896,56.39426071
6051,-5.041681803,56.40238918
6052,-4.981639922,56.401601
6053,-4.98322279,56.40111347
6054,-4.832215522,57.74728746
6055,-4.713266494,56.43428069
6057,-4.618596484,56.39047838
6058,-4.617787474,56.39049547
6059,-4.721594734,56.30107496
6060,-4.718366517,56.3011459
6101,-4.722771243,56.20397662
6102,-4.722516729,56.20038693
6103,-4.776006524,56.15964794
6104,-4.779222709,56.15957561
6105,-4.82648719,56.07940299
6106,-4.828091871,56.07936621
6108,-4.731727658,56.01232649
6109,-4.73115733,56.00424949
6110,-4.70951793,55.99304216
6111,-4.711244923,55.99480186
6112,-4.709643589,55.99483708
6113,-4.652735943,55.96012202
6121,-4.585088372,56.00290571
6123,-4.577485367,55.98508877
6125,-4.586132835,55.97052657
6134,-4.576578467,55.94735763
6134,-4.578178013,55.94732416
6135,-4.566862281,55.94576291
6136,-4.566921698,55.94666048
6137,-4.553829766,55.94243862
6138,-4.566542382,55.94576957
6203,-4.493842615,55.9310849
6205,-4.453356284,55.92380917
6209,0.337851266,56.930576
6210,-4.430186906,55.91168575
6211,-4.426990384,55.91174881
6215,-4.405934575,55.90766826
6217,-4.386536234,55.9044508
6219,-4.364163765,55.90488253
6221,-4.33534429,55.90453391
6221,-4.320934678,55.90435707
6222,-4.321701093,55.8904119
6224,-4.318503319,55.88238337
6230,-4.313705021,55.89552361
6233,-4.303009601,55.89885186
6234,-4.304607477,55.89882195
6236,-4.279954157,55.88759737
6239,-4.269484072,55.88822229
6242,-4.260784658,55.88795101
6245,-4.255992216,55.88803896
6301,-4.315111784,55.94086618
6303,-4.320275162,55.92009771
6305,-4.332957013,55.91806055
6307,-4.338810718,55.9089619
6308,-4.336942362,55.90450359
6318,-4.422114258,55.88488143
6331,-4.401794617,55.89246993
6345,-4.403891945,55.90051797
6347,-4.387416976,55.89274968
6349,-4.381026832,55.89287348
6350,-4.364723476,55.88779521
6351,-4.353378859,55.88531638
6352,-4.324412875,55.88227188
6353,-4.317917107,55.88059689
6354,-4.31466943,55.87975927
6355,-4.314722881,55.88065702
6356,-4.331252511,55.88300531
6358,-4.314241939,55.87257725
6359,-4.310995013,55.87173952
6361,-4.302639129,55.8656049
6362,-4.294497666,55.86306075
6365,-4.268954609,55.86353449
6399,-4.25134136,55.86295932
6401,-4.251237457,55.86116374
6416,-4.24480975,55.88824344
6419,-4.238931274,55.86947699
6420,-4.238367999,55.88746203
6421,-4.239965478,55.88743296
6421,-4.236770517,55.88749107
6421,-4.242517089,55.89008271
6421,-4.238367999,55.88746203
6423,-4.241718297,55.89009726
6430,-4.231179307,55.88759256
6443,-4.223317542,55.90391205
6449,-4.217027312,55.90582297
6452,-4.269484072,55.88822229
6454,-4.153891366,55.92132327
6455,-4.063146708,55.94848992
6455,-4.06305118,55.94669414
6455,-4.063146708,55.94848992
6457,-4.037257238,55.95566096
6502,-0.592113229,57.06932635
6503,-4.140965762,55.89009369
6506,-4.2331629,55.88036669
6509,-4.226619845,55.87778904
6511,-4.224971373,55.87692012
6519,-4.225125506,55.87961354
6521,-4.230020001,55.88132242
6523,-4.223425647,55.8778468
6525,-4.211428926,55.86368323
6527,-4.212770134,55.85916543
6530,-4.206384723,55.85928012
6600,-4.239907614,55.85867432
6600,-4.246240953,55.85766009
6605,-4.271675736,55.85539553
6701,-4.223841869,55.85716831
6705,-4.206282908,55.85748448
6706,-4.178994818,55.85527466
6707,-4.159740274,55.85381676
6708,-4.158044518,55.85204907
6709,-4.158144089,55.85384477
6710,-4.129461394,55.85524334
6711,-4.158094302,55.85294692
6712,-4.1057113,55.85924702
6714,-4.042180491,55.86660887
7001,-4.871594744,55.80824277
7002,-4.828347106,55.92924783
7004,-4.873040102,55.90574037
7005,-4.805148325,55.94056518
7006,-4.747328788,55.93827342
7007,-4.693420424,55.96912634
7008,-4.841944419,55.918148
7011,-4.817906184,55.96184699
7011,-4.818167253,55.96543653
7012,-4.795249288,55.95876779
7013,-4.770102159,55.96562802
7015,-4.75454813,55.97226887
7021,-4.751347434,55.9723404
7023,-4.731591923,55.94221898
7025,-4.75461195,55.9731663
7027,-4.718484163,55.93801479
7028,-4.712025462,55.93725837
7043,-4.368516918,55.86685281
7053,-4.348209167,55.85532445
7099,-1.478619465,52.81810097
7101,-4.615397125,55.78654691
7103,-4.534953645,55.82508442
7105,-4.503580642,55.83381656
7112,-4.476751062,55.83885391
7112,-4.47686527,55.84064921
7113,-4.476808164,55.83975156
7115,-4.42570258,55.83987146
7116,-4.400287803,55.8421677
7118,-4.365132829,55.84195003
7118,-4.368323767,55.84188862
7119,-4.349069625,55.84046036
7123,-4.398692361,55.84219883
7124,-4.334495333,55.83714281
7125,-4.329709389,55.83723357
7126,-4.326518744,55.83729397
7127,-4.304502684,55.84310106
7128,-4.691820127,55.96916132
7129,-4.655568214,55.93129825
7130,-4.586278746,55.92468385
7131,-4.516539851,55.90087274
7132,-4.501584828,55.9021663
7136,-4.442444009,55.85212318
7138,-4.42155872,55.85028918
7140,-4.424610403,55.84798209
7145,-4.421474944,55.84894265
7145,-4.421530794,55.84984033
7146,-2.928998049,58.77350566
7147,-4.41987925,55.84897405
7150,-4.381041147,55.85551118
7152,-4.37079396,55.85622141
7153,-4.349882408,55.85392637
7154,-4.338602576,55.85234381
7155,-2.778546235,52.82289487
7156,-4.348097444,55.85532658
7200,-4.277587346,55.84719745
