CRS,Tiploc,Description,Stannox
CHF,CHFN,CHURCH FENTON,16495
EGF,EGRFRTH,EAST GARFORTH,16603
CFD,CASTLFD,CASTLEFORD,16912
CEY,CONONLY,CONONLEY,17008
CFL,CFLATTS,CROSSFLATTS,17014
BIY,BNGY,BINGLEY,17016
BDQ,BRADFS,BRADFORD FORSTER SQUARE,17019
BLD,BAILDON,BAILDON,17038
BUW,BURLYIW,BURLEY-IN-WHARFEDALE,17045
APY,APERLYB,APPERLEY BRIDGE,17050
BEY,BNRHYDN,BEN RHYDDING,17054
BUY,BRLEYPK,BURLEY PARK,17101
CRG,CSGT,CROSS GATES,17112
COT,COTNGLY,COTTINGLEY,17143
XES,ESJLEDS,ENGINE SHED JN.,17149
XRF,CRFTDEP,CROFTON DEPOT,18035
DRT,DRTN,DARTON,18402
BTL,BATLEY,BATLEY,18437
DEW,DWBY,DEWSBURY,18438
ELN,ELLAND,ELLAND,18453
BGH,BRHOUSE,BRIGHOUSE,18455
DHN,DEIGHTN,DEIGHTON,18472
BBW,BERRYB,BERRY BROW,18488
BHS,BKHLS,BROCKHOLES,18492
DBD,DNDL,DENBY DALE,18498
BDI,BRADIN,BRADFORD INTERCHANGE,18641
BLE,BRMLYSR,BRAMLEY,18654
BEM,BEMPTON,BEMPTON,19006
BDT,BRDLNGT,BRIDLINGTON,19007
DRF,DRIFILD,DRIFFIELD,19016
ARR,ARRAM,ARRAM,19019
BEV,BEVERLY,BEVERLEY,19023
CGM,CTTGHM,COTTINGHAM,19031
BUH,BROUGH,BROUGH,19211
BMF,BRFT,BROOMFLEET,19213
EGN,ESTRNGT,EASTRINGTON,19218
BAU,BRTHMBR,BARTON-ON-HUMBER,21001
BAV,BARWHVN,BARROW HAVEN,21004
CLE,CLTHRPS,CLEETHORPES,21141
BTB,BNTBY,BARNETBY,21415
ALP,ALTPE,ALTHORPE,22075
CWE,CROWLE,CROWLE,23003
BYK,BTLYSY,BENTLEY (S.YORKS),23115
AWK,ADWICK,ADWICK,23118
XWV,DONCWY,DONCASTER WEST YARD,23418
DON,DONC,DONCASTER,23421
